Material (compound);Physical property;Numerical value;Unit;Temperature;Reference;;;
Ca2.9Ce0.1Co3.9Ni0.1O9+δ;ZT value;0.022;unitless;350 K;10.1016/j.ceramint.2015.02.021;;;
Ca2.9Ce0.1Co3.9Ni0.1O9+δ;ZT value;0.022;unitless;350 K;10.1016/j.ceramint.2015.02.021;;;
Ca2.9La0.1Co3.9Fe0.1O9;ZT value;0.32;dimensionless;1000 K;10.1007/s10854-019-02838-0;;;
Ca3Co4O9;ZT value;0.3;unitless;800 °C;10.1016/j.jallcom.2015.11.001;;;
Ca2.9Sr0.1Co3.92O9;ZT value;0.38;dimensionless;957 K;10.1007/s40145-020-0413-6;;;
Ca2.9Y0.1Co3.97Fe0.03O9+δ;ZT value;0.22;unitless;800 °C;10.1016/j.jallcom.2015.02.185;;;
Ca2CdAs2;ZT value;0.8;unitless;800 K;10.1016/bs.hpcre.2016.05.003;;;
Ca2Co2O5;ZT value;0.18;dimensionless;750 K;10.1007/s11666-020-01085-8;;;
Ca2FeMoO6;ZT value;0.15;unitless;1250 K;10.1016/j.matchemphys.2012.01.032;;;
Ca2FeMoO6;ZT value;0.15;dimensionless;1250 K;10.1557/jmr.2018.376;;;
Ca2GaNbO6;ZT value;0.54;dimensionless;1200 K;10.1007/s12648-023-02758-0;;;
Ca2−xSrxFeMoO6;ZT value;0.15;unitless;1250 K;10.1016/j.matchemphys.2012.01.032;;;
Ca3Co2O6;ZT value;0.15;unitless;1000 K;10.1016/j.jssc.2011.06.013;;;
Ca3Co3.7Ti0.3O9;ZT value;0.3;unitless;1000 K;10.1016/j.jallcom.2010.04.055;;;
Ca3Co3.7Ti0.3O9;ZT value;0.3;unitless;1000 K;10.1016/j.jallcom.2010.04.055;;;
Ca3Co3.7Ti0.3O9;ZT value;0.3;unitless;1000 K;10.1016/j.ceramint.2017.08.191;;;
Ca3Co3.7Ti0.3O9;ZT value;0.3;unitless;1000 K;10.1016/j.jallcom.2010.04.055;;;
Ca3Co3.85Cr0.15O9+δ;ZT value;0.19;unitless;1073 K;10.1016/j.jallcom.2013.11.034;;;
Ca3Co3.85Cr0.15O9+δ;ZT value;0.19;unitless;1073 K;10.1016/j.jallcom.2013.11.034;;;
Ca3Co3.85Cu0.15O9+δ;ZT value;0.05;unitless;300 K;10.1016/j.materresbull.2013.07.004;;;
Ca3Co3.90Sb0.10O9;ZT value;0.012;unitless;300 K;10.1016/j.jallcom.2013.04.202;;;
Ca3Co4O9;ZT value;0.87;unitless;1000 K;10.1016/j.jallcom.2013.11.098;;;
Ca3Co4O9;ZT value;0.22;unitless;700 °C;10.1016/j.jmatprotec.2007.12.093;;;
Ca3Co4O9;ZT value;0.18;unitless;1000 K;10.1016/j.vacuum.2017.04.015;;;
Ca3Co4O9;ZT value;0.83;unitless;not specified;10.1016/j.jpcs.2009.01.003;;;
Ca3Co4O9;ZT value;0.87;unitless;700 °C;10.1016/j.actamat.2013.10.011;;;
Ca3Co4O9;ZT value;0.87;unitless;700 °C;10.1016/j.jmatprotec.2007.12.093;;;
Ca3Co4O9;ZT value;0.3;unitless;1000 K;10.1016/j.pmatsci.2013.06.003;;;
Ca3Co4O9;ZT value;2.16E-02;unitless;27 °C;10.1016/j.enbuild.2017.10.032;;;
Ca3Co4O9;ZT value;0.87;unitless;973 K;10.1016/j.vacuum.2017.04.015;;;
Ca3Co4O9;ZT value;0.8;unitless;973 K;10.1016/j.jeurceramsoc.2015.10.042;;;
Ca3Co4O9;ZT value;0.4;unitless;1000 K;10.1016/j.vacuum.2017.04.015;;;
Ca3Co4O9;ZT value;0.19;unitless;800 K;10.1016/j.ceramint.2017.04.132;;;
Ca3Co4O9;ZT value;0.04;unitless;300 K;10.1016/j.enconman.2016.02.001;;;
Ca3Co4O9;ZT value;0.22;unitless;1000 K;10.1016/j.jallcom.2010.10.209;;;
Ca3Co4O9;ZT value;0.1;unitless;1000 K;10.1016/j.jallcom.2010.10.209;;;
Ca3Co4O9;ZT value;0.21;unitless;1000 K;10.1016/j.materresbull.2012.02.004;;;
Ca3Co4O9;ZT value;0.83;unitless;973 K;10.1016/j.jallcom.2010.09.150;;;
Ca3Co4O9;ZT value;0.09;unitless;627 °C;10.1016/j.ceramint.2016.01.128;;;
Ca3Co4O9;ZT value;0.87;unitless;700 °C;10.1016/j.ceramint.2015.01.157;;;
Ca3Co4O9;ZT value;0.25;dimensionless;1073 K;10.1007/s11664-014-3569-4;;;
Ca3Co4O9;ZT value;0.1;unitless;600 °C;10.1016/j.jallcom.2016.06.058;;;
Ca3Co4O9;ZT value;1;dimensionless;1000 K;10.1007/s11664-015-4089-6;;;
Ca3Co4O9;ZT value;0.03;unitless;300 K;10.1016/j.ceramint.2013.11.040;;;
Ca3Co4O9;ZT value;0.87;dimensionless;973 K;10.1007/s11664-011-1508-1;;;
Ca3Co4O9;ZT value;0.61;unitless;1118 K;10.1016/j.matdes.2015.10.058;;;
Ca3Co4O9;ZT value;0.1;dimensionless;700 K;10.1007/s10854-020-04212-x;;;
Ca3Co4O9;ZT value;0.18;unitless;1000 K;10.1016/j.materresbull.2012.07.037;;;
Ca3Co4O9;ZT value;0.14;unitless;1073 K;10.1016/j.jeurceramsoc.2015.10.042;;;
Ca3Co4O9;ZT value;1;unitless;1000 K;10.1016/j.jallcom.2010.10.209;;;
Ca3Co4O9;ZT value;0.2;unitless;973 K;10.1016/j.jallcom.2017.04.121;;;
Ca3Co4O9;ZT value;0.3;unitless;1000 K;10.1016/j.jallcom.2010.03.049;;;
Ca3Co4O9;ZT value;0.26;unitless;1055 K;10.1016/j.jallcom.2010.10.209;;;
Ca3Co4O9;ZT value;0.23;unitless;973 K;10.1016/j.ssi.2011.07.023;;;
Ca3Co4O9;ZT value;0.9;unitless;973 K;10.1016/j.jeurceramsoc.2015.10.042;;;
Ca3Co4O9;ZT value;1;unitless;1000 K;10.1016/j.matlet.2007.08.037;;;
Ca3Co4O9;ZT value;0.1;unitless;700 K;10.1016/j.mtcomm.2015.12.001;;;
Ca3Co4O9;ZT value;0.87;unitless;700 °C;10.1016/j.ceramint.2016.07.124;;;
Ca3Co4O9;ZT value;0.25;unitless;1000 K;10.1016/j.jallcom.2010.09.150;;;
Ca3Co4O9;ZT value;0.87;unitless;700 °C;10.1016/j.matlet.2006.01.013;;;
Ca3Co4O9;ZT value;0.87;unitless;700 °C;10.1016/j.ceramint.2011.12.079;;;
Ca3Co4O9;ZT value;0.048;dimensionless;298.15 K;10.1007/s00339-012-7536-8;;;
Ca3Co4O9;ZT value;0.004 to 0.013;unitless;300 K;10.1016/j.ceramint.2013.11.040;;;
Ca3Co4O9;ZT value;0.87;unitless;973 K;10.1016/j.materresbull.2010.05.006;;;
Ca3Co4O9;ZT value;0.18;unitless;1000 K;10.1016/j.materresbull.2012.07.037;;;
Ca3Co4O9;ZT value;0.3;dimensionless;1073 K;10.1007/s10854-019-02838-0;;;
Ca3Co4O9;ZT value;0.83;dimensionless;973 K;10.3938/jkps.66.794;;;
Ca3Co4O9;ZT value;0.13;unitless;600 K;10.1016/j.enconman.2016.02.001;;;
Ca3Co4O9;ZT value;0.15;unitless;1000 K;10.1016/j.jallcom.2010.10.209;;;
Ca3Co4O9;ZT value;0.87;unitless;973 K;10.1016/j.jallcom.2009.11.009;;;
Ca3Co4O9;ZT value;0.12;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ca3Co4O9;ZT value;0.87;unitless;700 °C;10.1016/j.jallcom.2007.12.016;;;
Ca3Co4O9;ZT value;0.83;unitless;not specified;10.1016/j.cap.2008.03.010;;;
Ca3Co4O9;ZT value;0.32;unitless;1000 K;10.1016/j.jeurceramsoc.2015.10.042;;;
Ca3Co4O9;ZT value;0.18;unitless;1000 K;10.1016/j.materresbull.2012.07.037;;;
Ca3Co4O9;ZT value;0.18;dimensionless;800 °C;10.1007/s11664-022-09692-7;;;
Ca3Co4O9;ZT value;0.3;dimensionless;1000 K;10.1557/jmr.2011.108;;;
Ca3Co4O9;ZT value;0.3;unitless;1000 K;10.1016/j.jallcom.2010.09.150;;;
Ca3Co4O9;ZT value;1;unitless;1000 K;10.1016/j.jssc.2011.06.013;;;
Ca3Co4O9;ZT value;0.1-0.3;unitless;not specified;10.1016/j.ceramint.2014.07.028;;;
Ca3Co4O9;ZT value;0.15;unitless;1000 K;10.1016/j.vacuum.2017.04.015;;;
Ca3Co4O9-based thermoelectric ceramics;ZT value;0.3;dimensionless;1073 K;10.1007/s10854-019-02838-0;;;
Ca3Co4O9-based thermoelectrics with 5wt.% K2CO3 addition;ZT value;0.35;unitless;800 °C;10.1016/j.jeurceramsoc.2015.11.024;;;
Ca3Co4O9 ceramics;ZT value;0.06;dimensionless;873 K;10.1007/s10854-019-02838-0;;;
Ca3Co4O9 with 5wt.% K2CO3;ZT value;0.35;unitless;800 °C;10.1016/j.jeurceramsoc.2015.11.024;;;
Ca3Co4O9+δ;ZT value;0.025 to 0.029;unitless;300 K;10.1016/j.ceramint.2013.11.040;;;
Ca3Co4O9+δ;ZT value;0.83;unitless;973 K;10.1016/j.ssc.2003.11.045;;;
Ca3Co4O9+δ;ZT value;0.026;unitless;300 K;10.1016/j.enconman.2013.07.009;;;
Ca3Co4O9+δ;ZT value;0.87;unitless;973 K;10.1016/j.jallcom.2013.11.034;;;
Ca3Co4O9+δ;ZT value;0.026;unitless;300 K;10.1016/j.ceramint.2013.11.040;;;
Ca3Co4O9+δ (sintered in air at 1193 K);ZT value;0.22;dimensionless;1073 K;10.1007/s10971-017-4572-z;;;
Ca3-xCdxCo4O9;ZT value;0.35;unitless;1000 K;10.1016/j.vacuum.2017.04.015;;;
Ca5Al2Sb6;ZT value;0.21;dimensionless;300 K;10.1038/srep29550;;;
Ca5Al2Sb6;ZT value;1;dimensionless;1000 K;10.1038/srep29550;;;
Ca5Al2Sb6;ZT value;1.45;dimensionless;1000 K;10.1038/srep29550;;;
Ca5In1.9Zn0.1Sb6;ZT value;0.7;unitless;1000 K;10.1016/j.jallcom.2016.03.131;;;
Ca9Zn4.5Sb9;ZT value;0.37;unitless;823 K;10.1016/j.mtphys.2017.06.003;;;
CaCd2Sb2;ZT value;0.04;unitless;600 K;10.1016/j.intermet.2009.07.011;;;
CaCd2Sb2;ZT value;0.04;unitless;600 K;10.1016/j.intermet.2009.07.011;;;
CaCd2Sb2;ZT value;0.04;unitless;600 K;10.1016/j.intermet.2009.07.011;;;
CaCuSb;ZT value;0.14;dimensionless;1010 K;10.1007/s40145-022-0634-y;;;
CaCuSb;ZT value;0.14;dimensionless;1010 K;10.1007/s40145-022-0634-y;;;
Ca-doped BiCuSeO (Bi0.925Ca0.075CuSeO);ZT value;0.9;dimensionless;923 K;10.1038/am.2013.15;;;
Ca-doped BiCuSeO (Bi0.925Ca0.075CuSeO);ZT value;0.9;dimensionless;923 K;10.1038/am.2013.15;;;
Ca-doped La2.22Te4;ZT value;1.3;dimensionless;1250 K;10.1557/opl.2013.25;;;
CaFe2Co2Sb12;ZT value;0.6;unitless;773 K;10.1016/j.actamat.2015.03.032;;;
CaFe3.5Co0.5Sb12;ZT value;0.8;unitless;733 K;10.1016/j.actamat.2015.03.032;;;
CaFe3CoSb12;ZT value;0.9;unitless;not specified;10.1016/j.actamat.2015.03.032;;;
CaFe3CoSb12;ZT value;0.9;unitless;773 K;10.1016/j.actamat.2015.03.032;;;
CaKSb (p-type);ZT value;0.16;dimensionless;300 K;10.1007/s11664-023-10322-z;;;
Calcium cerate;ZT value;0.66;dimensionless;1200 K;10.1007/s10904-024-03362-3;;;
Calcium Divanadate;ZT value;0.73;dimensionless;800 K;10.1007/s00339-023-07235-3;;;
Calcium manganate (CaMnO3);ZT value;0.35;dimensionless;1073 K;10.1007/s10854-023-11228-6;;;
Calcium niobate;ZT value;0.681;dimensionless;800 K;10.1557/s43578-024-01341-5;;;
Calcium niobate;ZT value;0.174;dimensionless;300 K;10.1557/s43578-024-01341-5;;;
Calcium Rubidium Trichloride;ZT value;1;dimensionless;300 K;10.1007/s12648-024-03462-3;;;
Calcium vanadate (CaV2O6);ZT value;0.78;dimensionless;450 K;10.1007/s00339-023-07235-3;;;
Calcium vanadium oxide (CaV2O5);ZT value;0.23;dimensionless;1000 K;10.1007/s00339-023-07235-3;;;
CaMg2Bi1.98;ZT value;0.9;unitless;873 K;10.1016/j.mtphys.2017.06.003;;;
CaMgSi (Half-Heusler compound);ZT value;1.76;dimensionless;800 K;10.1007/s11664-022-09659-8;;;
CaMn0.98Nb0.02O3;ZT value;0.32;dimensionless;790 °C;10.1007/s11664-020-08127-5;;;
CaMn0.98Si0.02O3−δ;ZT value;0.0128;unitless;300 K;10.1016/j.ceramint.2015.11.076;;;
CaMn0.98Si0.02O3−δ;ZT value;0.0128;unitless;300 K;10.1016/j.ceramint.2015.11.076;;;
CaMn0.98Si0.02O3−δ;ZT value;0.013;unitless;300 K;10.1016/j.ceramint.2015.11.076;;;
CaMn0.99W0.01O3;ZT value;1.5;unitless;700 °C;10.1016/j.ijhydene.2015.09.017;;;
CaMn1-xNbxO3;ZT value;0.3;unitless;1000 K;10.1016/j.actamat.2010.07.052;;;
CaMn1-xNbxO3;ZT value;0.32;unitless;1070 K;10.1016/j.actamat.2009.07.062;;;
CaMnO3;ZT value;0.8;unitless;1000 K;10.1016/j.jpcs.2013.07.019;;;
CaMnO3;ZT value;1.15;unitless;1000 K;10.1016/j.jpcs.2013.07.019;;;
CaMnO3;ZT value;0.09;unitless;not specified;10.1016/j.materresbull.2012.05.061;;;
CaMnO3;ZT value;0.16;unitless;1000 K;10.1016/j.vacuum.2017.04.015;;;
CaMnO3;ZT value;0.32;unitless;not specified;10.1016/j.materresbull.2012.05.061;;;
CaMnO3;ZT value;0.3;unitless;not specified;10.1016/j.vacuum.2017.04.015;;;
CaMnO3;ZT value;0.2;unitless;not specified;10.1016/j.materresbull.2012.05.061;;;
CaMnO3;ZT value;0.27;unitless;1073 K;10.1016/j.jmat.2016.06.005;;;
CaMnO3;ZT value;0.08;unitless;973 K;10.1016/j.jallcom.2014.12.141;;;
CaMnO3;ZT value;0.25;unitless;973 K;10.1016/j.jallcom.2017.04.121;;;
CaMnO3;ZT value;0.35;dimensionless;1073 K;10.1007/s10854-023-11228-6;;;
CaMnO3;ZT value;0.35;dimensionless;1073 K;10.1007/s10854-023-11228-6;;;
CaMnO3;ZT value;0.25;unitless;973 K;10.1016/j.vacuum.2017.04.015;;;
CaMnO3;ZT value;1.37;unitless;1000 K;10.1016/j.jpcs.2013.07.019;;;
CaMnO3;ZT value;0.15;unitless;not specified;10.1016/j.vacuum.2017.04.015;;;
CaMnO3;ZT value;1.28;unitless;1000 K;10.1016/j.jpcs.2013.07.019;;;
CaMnO3-δ;ZT value;0.08;unitless;727 °C;10.1016/j.jallcom.2016.12.359;;;
CaMnO3−δ;ZT value;0.004;unitless;300 K;10.1016/j.jallcom.2011.04.056;;;
CaRbCl3;ZT value;1;dimensionless;298.15 K;10.1007/s12648-024-03462-3;;;
CaRbI3;ZT value;0.98;dimensionless;298.15 K;10.1007/s12648-024-03462-3;;;
Carbon nanotubes (CNTs);ZT value;0.4;dimensionless;673 K;10.1007/s10854-024-13746-3;;;
CaRuO3;ZT value;0.025;unitless;1023 K;10.1016/j.jallcom.2012.01.150;;;
CaSbK (half-Heusler);ZT value;1.54;dimensionless;700 K;10.1007/s11664-023-10322-z;;;
CaSbK (half-Heusler compound);ZT value;1.54;dimensionless;700 K;10.1007/s11664-023-10322-z;;;
CaV2O6;ZT value;0.73;dimensionless;300 K;10.1007/s00339-023-07235-3;;;
(CaZn1.997Ag0.003Sb2)0.5(YbMg1.997Ag0.003Sb2)0.5;ZT value;1.17;dimensionless;773 K;10.1007/s12598-022-02032-y;;;
(CaZn1.997Ag0.003Sb2)0.5(YbMg1.997Ag0.003Sb2)0.5 solid solution;ZT value;1.17;dimensionless;773 K;10.1007/s12598-022-02032-y;;;
CaZn1.9Cu0.1P2;ZT value;0.4;dimensionless;1000 K;10.1007/s11664-013-2895-2;;;
CaZn1.9Cu0.1P2;ZT value;0.4;dimensionless;1000 K;10.1007/s11664-013-2895-2;;;
CaZn2Ge2;ZT value;0;dimensionless;200 K;10.1140/epjp/s13360-022-02577-y;;;
CaZn2Ge2;ZT value;0.0171;dimensionless;1000 K;10.1140/epjp/s13360-022-02577-y;;;
CaZn2Ge2;ZT value;0.0171;dimensionless;1000 K;10.1140/epjp/s13360-022-02577-y;;;
CaZn2Ge2;ZT value;0.0171;dimensionless;1000 K;10.1140/epjp/s13360-022-02577-y;;;
CaZn2Sb2;ZT value;0.69;dimensionless;773 K;10.1007/s12598-022-02032-y;;;
CaZn2Sb2;ZT value;0.26;dimensionless;720 K;10.1007/s11664-015-4303-6;;;
(CaZn2Sb2)0.5(YbMg2Sb2)0.5 solid solution;ZT value;1.08;dimensionless;773 K;10.1007/s12598-022-02032-y;;;
CaZrSe3;ZT value;0.984;dimensionless;550 K;10.1038/s41524-019-0253-5;;;
(Cd0.05Ti0.95)1+yS2;ZT value;0.022;unitless;310 K;10.1016/j.jallcom.2009.01.052;;;
Cd0.05Ti0.95S2;ZT value;0.022;unitless;310 K;10.1016/j.jallcom.2009.01.052;;;
Cd0.99Ni0.01O;ZT value;0.43;unitless;1000 K;10.1016/j.jallcom.2015.12.043;;;
Cd0.99Ni0.01O;ZT value;0.43;unitless;1000 K;10.1016/j.jallcom.2015.12.043;;;
Cd0.99Ni0.01O;ZT value;0.43;unitless;1000 K;10.1016/j.jallcom.2015.12.043;;;
Cd0.99Ni0.01O;ZT value;0.43;unitless;1000 K;10.1016/j.jallcom.2015.12.043;;;
Cd1−xPrxO;ZT value;0.38;unitless;1000 K;10.1016/j.scriptamat.2013.06.018;;;
Cd1−xPrxO;ZT value;0.38;unitless;1000 K;10.1016/j.scriptamat.2013.06.018;;;
Cd31Te32Cs1;ZT value;0.83;unitless;1000 K;10.1016/j.jpcs.2015.05.008;;;
Cd3As2;ZT value;0.2;dimensionless;370 K;10.1007/s11433-019-1445-4;;;
Cd3As2;ZT value;0.7;dimensionless;350 K;10.1007/s11433-019-1445-4;;;
Cd3As2;ZT value;0.5;dimensionless;300 K;10.1007/s11433-019-1445-4;;;
Cd3As2;ZT value;1;dimensionless;200 K;10.1007/s11433-019-1445-4;;;
Cd3As2;ZT value;0.5;dimensionless;300 K;10.1007/s11433-019-1445-4;;;
CdCl2-doped Bi2Te2.4Se0.6;ZT value;0.41;dimensionless;300 K;10.1134/S0020168518120075;;;
CdCl2-doped Bi2Te2.76Se0.24 (0.02%);ZT value;1;dimensionless;433 K;10.1134/S0020168519050078;;;
Cd-doped AgSbTe2 (p-type);ZT value;2.6;dimensionless;573 K;10.1007/s12034-024-03373-3;;;
Cd-doped Bi0.46Sb1.54Te3 (Cd content 0.01);ZT value;1.15;dimensionless;425 K;10.1007/s11664-022-09985-x;;;
Cd-doped Cu2SnSe3;ZT value;0.68;dimensionless;823 K;10.1007/s12598-022-02043-9;;;
Cd-doped Cu2SnSe3 (Cu2Sn0.93Cd0.07Se3);ZT value;0.68;dimensionless;823 K;10.1007/s12598-022-02043-9;;;
Cd-doped Cu2SnSe3 (Cu2Sn0.93Cd0.07Se3);ZT value;0.68;dimensionless;823 K;10.1007/s12598-022-02043-9;;;
CdGa2S4;ZT value;1.04;dimensionless;800 K;10.1007/s10854-017-7559-1;;;
CdO;ZT value;0.43;unitless;1000 K;10.1016/j.jallcom.2015.12.043;;;
CdO;ZT value;0.38;unitless;1000 K;10.1016/j.scriptamat.2013.06.018;;;
CdO;ZT value;0.2;unitless;723 K;10.1016/j.jeurceramsoc.2013.02.025;;;
CdSb;ZT value;1.3;unitless;560 K;10.1016/j.commatsci.2015.11.006;;;
CdSbS3;ZT value;2.34;dimensionless;1400 K;10.1007/s11664-024-11510-1;;;
CdSbSe3;ZT value;2.68;dimensionless;850 K;10.1007/s11664-024-11510-1;;;
Ce0.12Fe0.71Co3.29Sb12;ZT value;0.05;unitless;300 K;10.1016/j.tsf.2013.09.068;;;
Ce0.12Fe0.71Co3.29Sb12;ZT value;0.8;unitless;750 K;10.1016/j.tsf.2013.09.068;;;
Ce0.14Co4Sb12;ZT value;1.3;dimensionless;850 K;10.1038/ncomms8584;;;
Ce0.28Co2.48Fe1.52Sb12;ZT value;1.1;unitless;750 K;10.1016/j.jallcom.2005.03.032;;;
Ce0.28Fe1.5Co2.5Sb12;ZT value;1.1;unitless;480 °C;10.1016/j.rser.2013.03.008;;;
Ce0.28Fe1.5Co2.5Sb12;ZT value;0.36;unitless;700 K;10.1016/j.jallcom.2016.12.040;;;
Ce0.28Fe1.5Co2.5Sb12;ZT value;1.1;unitless;750 K;10.1016/j.tsf.2013.09.068;;;
Ce0.29Fe1.5Co2.5Sb12;ZT value;0.1;unitless;not specified;10.1016/j.tsf.2013.09.068;;;
Ce0.2Bi1.8Te3;ZT value;1.29;unitless;398 K;10.1016/j.pnsc.2013.06.007;;;
Ce0.2Bi1.8Te3;ZT value;1.29;unitless;398 K;10.1016/j.pnsc.2013.06.007;;;
Ce0.33In0.08Fe1.5Co2.5Sb12;ZT value;0.65;unitless;700 K;10.1016/j.jallcom.2016.12.040;;;
Ce0.3Bi1.7Te3;ZT value;1.15;dimensionless;398 K;10.1038/s41598-024-72950-7;;;
Ce0.3Fe1.5Co2.5Sb12;ZT value;1.1;unitless;750 K;10.1016/j.jallcom.2016.12.040;;;
Ce0.3Yb0.2Fe1.5Co2.5Sb12;ZT value;0.32;unitless;723 K;10.1016/j.jallcom.2007.12.065;;;
Ce0.44Yb0.32Fe3.02Co0.98Sb12;ZT value;0.95;unitless;800 K;10.1016/j.physb.2006.03.068;;;
Ce0.44Yb0.32Fe3.02Co0.98Sb12;ZT value;0.85;unitless;700 K;10.1016/j.actamat.2011.12.022;;;
Ce0.44Yb0.32Fe3.02Co0.98Sb12;ZT value;0.95;unitless;800 K;10.1016/j.physb.2006.03.068;;;
Ce0.44Yb0.32Fe3.02Co0.98Sb12;ZT value;0.85;unitless;723 K;10.1016/j.jallcom.2007.12.065;;;
Ce0.44Yb0.32Fe3.02Co0.98Sb12;ZT value;0.95;unitless;800 K;10.1016/j.physb.2006.03.068;;;
Ce0.44Yb0.32Fe3.02Co0.98Sb12;ZT value;0.55;unitless;525 K;10.1016/j.physb.2006.03.068;;;
Ce0.45Co2.5Fe1.5Sb12;ZT value;0.68;unitless;850 K;10.1016/j.mssp.2010.10.016;;;
Ce0.45Nd0.45Fe3.5Co0.5Sb12;ZT value;1.1;dimensionless;750 K;10.1007/s11664-015-3997-9;;;
Ce0.45Nd0.45Fe3CoSb12;ZT value;1.06;unitless;700 K;10.1016/j.intermet.2011.06.010;;;
Ce0.5Yb0.5Fe3.25Co0.75Sb12;ZT value;1;dimensionless;750 K;10.1007/s11664-012-2357-2;;;
Ce0.5Yb0.5Fe3.25Co0.75Sb12 skutterudite;ZT value;1;dimensionless;750 K;10.1007/s11664-012-2357-2;;;
Ce0.6Yb0.4Fe3CoSb12;ZT value;0.9;dimensionless;723 K;10.3938/jkps.77.667;;;
Ce0.6Yb0.4Fe3CoSb12;ZT value;1.02;unitless;700 K;10.1016/j.intermet.2011.06.010;;;
Ce0.6Yb0.4Fe3CoSb12 double-filled skutterudite;ZT value;0.9;dimensionless;723 K;10.3938/jkps.77.667;;;
Ce0.6Yb0.4Fe3CoSb12 double-filled skutterudite;ZT value;0.9;dimensionless;723 K;10.3938/jkps.77.667;;;
Ce0.92Fe4Sb12;ZT value;0.91;dimensionless;490 °C;10.1007/s11837-021-04976-5;;;
Ce0.92Sr0.08ZnSbO;ZT value;0.12;unitless;727 K;10.1016/j.jallcom.2016.07.235;;;
Ce0.92Sr0.08ZnSbO;ZT value;0.12;unitless;727 K;10.1016/j.jallcom.2016.07.235;;;
Ce0.92Sr0.08ZnSbO;ZT value;0.12;unitless;727 K;10.1016/j.jallcom.2016.07.235;;;
Ce0.92Sr0.08ZnSbO;ZT value;0.12;unitless;727 K;10.1016/j.jallcom.2016.07.235;;;
Ce0.9Fe3.0CoSb12;ZT value;0.8;dimensionless;800 K;10.1007/s11664-015-3997-9;;;
Ce0.9Fe3CoSb12;ZT value;1.4;unitless;1000 K;10.1016/j.tsf.2013.09.068;;;
Ce0.9Fe3CoSb12;ZT value;1.1;unitless;750 K;10.1016/j.tsf.2013.09.068;;;
Ce1.25Fe3CoSb12;ZT value;0.6;dimensionless;653 K;10.1038/s41467-024-48677-4;;;
Ce21Co16Ni4Si59;ZT value;8.10E-03;dimensionless;300 K;10.1134/S0031918X13080085;;;
Ce25Co19Si56;ZT value;0.024;dimensionless;300 K;10.1134/S0031918X13080085;;;
Ce33Co2Cu9Si56;ZT value;4.30E-03;dimensionless;300 K;10.1134/S0031918X13080085;;;
Ce41Si27Ge32;ZT value;3.70E-03;dimensionless;300 K;10.1134/S0031918X13080085;;;
CeCo4−xFexSb12;ZT value;1;unitless;850 K;10.1016/j.mssp.2010.10.016;;;
Ce-doped AgSbTe2.01 (x = 0.01);ZT value;1;dimensionless;475 K;10.1007/s11664-014-3076-7;;;
Ce-doped Bi2Te3 (Ce0.1Bi1.9Te3);ZT value;1.22;dimensionless;386 K;10.1007/s13391-014-4139-x;;;
Ce-doped Bi2Te3 (Ce0.1Bi1.9Te3);ZT value;1.22;dimensionless;386 K;10.1007/s13391-014-4139-x;;;
Ce-doped In4Pb0.01Se3 (x = 0.06);ZT value;1.1;dimensionless;720 K;10.1007/s11664-016-4920-8;;;
Ce-doped PbTe (x = 0.05);ZT value;0.88;dimensionless;673 K;10.1007/s11664-011-1715-9;;;
Ce-doped PbTe (x = 0.05);ZT value;0.88;dimensionless;673 K;10.1007/s11664-011-1715-9;;;
Ce-doped PbTe (x = 0.05);ZT value;0.88;dimensionless;673 K;10.1007/s11664-011-1715-9;;;
CeFe3CoSb12;ZT value;0.11;dimensionless;300 K;10.1007/s11664-012-2448-0;;;
CeFe3CoSb12;ZT value;0.1;dimensionless;300 K;10.1007/s11664-012-2448-0;;;
CeFe3CoSb12;ZT value;0.75;unitless;800 K;10.1016/j.enconman.2017.02.070;;;
CeFe4Sb12;ZT value;1.4;unitless;730 °C;10.1016/j.jeurceramsoc.2012.06.007;;;
CeFe4Sb12;ZT value;1.3;dimensionless;788 K;10.1007/s11664-020-08208-5;;;
CeFe4Sb12;ZT value;0.52;dimensionless;500 K;10.1007/s11664-019-07610-y;;;
Ce-filled Co4Sb12 skutterudite (Ce0.11);ZT value;1;dimensionless;850 K;10.1038/ncomms8584;;;
Ce-filled CoSb3 skutterudite (Ce0.14Co4Sb12);ZT value;1.3;dimensionless;850 K;10.1038/ncomms8584;;;
Ce-filled Fe0.7Co3.3Sb12;ZT value;1.4;dimensionless;900 K;10.1007/s42247-020-00092-3;;;
Ce-filled Fe3CoSb12 (y = 0.9);ZT value;0.8;dimensionless;800 K;10.1007/s11664-013-2849-8;;;
Ce-filled skutterudite;ZT value;1.3;dimensionless;850 K;10.1007/s10853-020-04952-5;;;
CeInCu2;ZT value;0.035;unitless;50 K;10.1016/j.physb.2005.01.058;;;
CeMn2Si2;ZT value;0.64;dimensionless;180 K;10.1007/s12648-023-02877-8;;;
CeMn2Si2;ZT value;0.41;dimensionless;490 K;10.1007/s12648-023-02877-8;;;
CeNi1.2Cu0.8Al3;ZT value;0.125;dimensionless;100 K;10.1007/s00339-019-3057-z;;;
CeNi2Al3;ZT value;0.1;dimensionless;220 K;10.1007/s00339-019-3057-z;;;
CeNi2Al3;ZT value;0.1;dimensionless;220 K;10.1007/s00339-019-3057-z;;;
CeNi2Al3;ZT value;0.1;dimensionless;220 K;10.1007/s00339-019-3057-z;;;
CePd3;ZT value;0.2;dimensionless;300 K;10.1038/s41524-023-01001-y;;;
